Value: const, Type: CONST, Line: 1
Value: TAM, Type: IDENTIFIER, Line: 1
Value: ==, Type: EQUIVALENCE, Line: 1
Value: 10, Type: NUMBER, Line: 1
Value: ;, Type: SEMICOLON, Line: 1
Value: MSG, Type: IDENTIFIER, Line: 2
Value: ==, Type: EQUIVALENCE, Line: 2
Value: "digite as notas do aluno", Type: STRING, Line: 2
Value: ;, Type: SEMICOLON, Line: 2
Value: -, Type: MINUS, Line: 4
Value: 20, Type: NUMBER, Line: 4
Value: swd, Type: IDENTIFIER, Line: 4
Value: constante, Type: IDENTIFIER, Line: 6
Value: type, Type: TYPE, Line: 8
Value: vetor, Type: IDENTIFIER, Line: 8
Value: ==, Type: EQUIVALENCE, Line: 8
Value: array, Type: ARRAY, Line: 8
Value: [, Type: LEFT_BRACKETS, Line: 8
Value: 15, Type: NUMBER, Line: 8
Value: ], Type: RIGHT_BRACKETS, Line: 8
Value: of, Type: OF, Line: 8
Value: integer, Type: INTEGER, Line: 8
Value: ;, Type: SEMICOLON, Line: 8
Value: aluno, Type: IDENTIFIER, Line: 9
Value: ==, Type: EQUIVALENCE, Line: 9
Value: record, Type: RECORD, Line: 9
Value: nota1, Type: IDENTIFIER, Line: 10
Value: :, Type: COLON, Line: 10
Value: real, Type: REAL, Line: 10
Value: ;, Type: SEMICOLON, Line: 10
Value: nota2, Type: IDENTIFIER, Line: 11
Value: :, Type: COLON, Line: 11
Value: real, Type: REAL, Line: 11
Value: end, Type: END, Line: 12
Value: ;, Type: SEMICOLON, Line: 12
Value: var, Type: VAR, Line: 13
Value: A, Type: IDENTIFIER, Line: 13
Value: ,, Type: COMMA, Line: 13
Value: B, Type: IDENTIFIER, Line: 13
Value: ,, Type: COMMA, Line: 13
Value: C, Type: IDENTIFIER, Line: 13
Value: ,, Type: COMMA, Line: 13
Value: D, Type: IDENTIFIER, Line: 13
Value: :, Type: COLON, Line: 13
Value: integer, Type: INTEGER, Line: 13
Value: ;, Type: SEMICOLON, Line: 13
Value: E, Type: IDENTIFIER, Line: 14
Value: :, Type: COLON, Line: 14
Value: vetor, Type: IDENTIFIER, Line: 14
Value: ;, Type: SEMICOLON, Line: 14
Value: F, Type: IDENTIFIER, Line: 15
Value: :, Type: COLON, Line: 15
Value: aluno, Type: IDENTIFIER, Line: 15
Value: ;, Type: SEMICOLON, Line: 15
Value: procedure, Type: PROCEDURE, Line: 17
Value: lerDados, Type: IDENTIFIER, Line: 17
Value: begin, Type: BEGIN, Line: 18
Value: write, Type: WRITE, Line: 19
Value: MSG, Type: IDENTIFIER, Line: 19
Value: ;, Type: SEMICOLON, Line: 19
Value: read, Type: READ, Line: 20
Value: F, Type: IDENTIFIER, Line: 20
Value: ., Type: DOT, Line: 20
Value: nota1, Type: IDENTIFIER, Line: 20
Value: ;, Type: SEMICOLON, Line: 20
Value: read, Type: READ, Line: 21
Value: F, Type: IDENTIFIER, Line: 21
Value: ., Type: DOT, Line: 21
Value: nota2, Type: IDENTIFIER, Line: 21
Value: ;, Type: SEMICOLON, Line: 21
Value: end, Type: END, Line: 22
Value: function, Type: FUNC, Line: 24
Value: fatorial, Type: IDENTIFIER, Line: 24
Value: (, Type: LEFT_PARENTHESIS, Line: 24
Value: a, Type: IDENTIFIER, Line: 24
Value: :, Type: COLON, Line: 24
Value: integer, Type: INTEGER, Line: 24
Value: ), Type: RIGHT_PARENTHESIS, Line: 24
Value: :, Type: COLON, Line: 24
Value: integer, Type: INTEGER, Line: 24
Value: var, Type: VAR, Line: 25
Value: i, Type: IDENTIFIER, Line: 25
Value: ,, Type: COMMA, Line: 25
Value: result, Type: IDENTIFIER, Line: 25
Value: :, Type: COLON, Line: 25
Value: integer, Type: INTEGER, Line: 25
Value: ;, Type: SEMICOLON, Line: 25
Value: begin, Type: BEGIN, Line: 26
Value: i, Type: IDENTIFIER, Line: 27
Value: :, Type: COLON, Line: 27
Value: =, Type: EQUAL, Line: 27
Value: 1, Type: NUMBER, Line: 27
Value: ;, Type: SEMICOLON, Line: 27
Value: result, Type: IDENTIFIER, Line: 28
Value: :, Type: COLON, Line: 28
Value: =, Type: EQUAL, Line: 28
Value: 1, Type: NUMBER, Line: 28
Value: ;, Type: SEMICOLON, Line: 28
Value: while, Type: WHILE, Line: 29
Value: i, Type: IDENTIFIER, Line: 29
Value: <, Type: LESS, Line: 29
Value: a, Type: IDENTIFIER, Line: 29
Value: do, Type: DO, Line: 29
Value: begin, Type: BEGIN, Line: 30
Value: result, Type: IDENTIFIER, Line: 31
Value: :, Type: COLON, Line: 31
Value: =, Type: EQUAL, Line: 31
Value: result, Type: IDENTIFIER, Line: 31
Value: *, Type: MUL, Line: 31
Value: i, Type: IDENTIFIER, Line: 31
Value: ;, Type: SEMICOLON, Line: 31
Value: i, Type: IDENTIFIER, Line: 32
Value: :, Type: COLON, Line: 32
Value: =, Type: EQUAL, Line: 32
Value: i, Type: IDENTIFIER, Line: 32
Value: +, Type: PLUS, Line: 32
Value: 1, Type: NUMBER, Line: 32
Value: ;, Type: SEMICOLON, Line: 32
Value: end, Type: END, Line: 33
Value: ;, Type: SEMICOLON, Line: 33
Value: return, Type: RETURN, Line: 34
Value: result, Type: IDENTIFIER, Line: 34
Value: ;, Type: SEMICOLON, Line: 34
Value: end, Type: END, Line: 35
Value: function, Type: FUNC, Line: 37
Value: exp, Type: IDENTIFIER, Line: 37
Value: (, Type: LEFT_PARENTHESIS, Line: 37
Value: a, Type: IDENTIFIER, Line: 37
Value: :, Type: COLON, Line: 37
Value: real, Type: REAL, Line: 37
Value: ;, Type: SEMICOLON, Line: 37
Value: b, Type: IDENTIFIER, Line: 37
Value: :, Type: COLON, Line: 37
Value: real, Type: REAL, Line: 37
Value: ), Type: RIGHT_PARENTHESIS, Line: 37
Value: :, Type: COLON, Line: 37
Value: real, Type: REAL, Line: 37
Value: var, Type: VAR, Line: 38
Value: i, Type: IDENTIFIER, Line: 38
Value: ,, Type: COMMA, Line: 38
Value: result, Type: IDENTIFIER, Line: 38
Value: :, Type: COLON, Line: 38
Value: integer, Type: INTEGER, Line: 38
Value: ;, Type: SEMICOLON, Line: 38
Value: begin, Type: BEGIN, Line: 39
Value: i, Type: IDENTIFIER, Line: 40
Value: :, Type: COLON, Line: 40
Value: =, Type: EQUAL, Line: 40
Value: 1, Type: NUMBER, Line: 40
Value: ;, Type: SEMICOLON, Line: 40
Value: result, Type: IDENTIFIER, Line: 41
Value: :, Type: COLON, Line: 41
Value: =, Type: EQUAL, Line: 41
Value: a, Type: IDENTIFIER, Line: 41
Value: ;, Type: SEMICOLON, Line: 41
Value: if, Type: IF, Line: 42
Value: b, Type: IDENTIFIER, Line: 42
Value: =, Type: EQUAL, Line: 42
Value: 0, Type: NUMBER, Line: 42
Value: then, Type: THEN, Line: 42
Value: :, Type: COLON, Line: 42
Value: result, Type: IDENTIFIER, Line: 42
Value: :, Type: COLON, Line: 42
Value: =, Type: EQUAL, Line: 42
Value: 1, Type: NUMBER, Line: 42
Value: else, Type: ELSE, Line: 43
Value: :, Type: COLON, Line: 43
Value: while, Type: WHILE, Line: 43
Value: i, Type: IDENTIFIER, Line: 43
Value: <, Type: LESS, Line: 43
Value: b, Type: IDENTIFIER, Line: 43
Value: do, Type: DO, Line: 43
Value: begin, Type: BEGIN, Line: 44
Value: result, Type: IDENTIFIER, Line: 45
Value: :, Type: COLON, Line: 45
Value: =, Type: EQUAL, Line: 45
Value: a, Type: IDENTIFIER, Line: 45
Value: *, Type: MUL, Line: 45
Value: a, Type: IDENTIFIER, Line: 45
Value: ;, Type: SEMICOLON, Line: 45
Value: i, Type: IDENTIFIER, Line: 46
Value: :, Type: COLON, Line: 46
Value: =, Type: EQUAL, Line: 46
Value: i, Type: IDENTIFIER, Line: 46
Value: +, Type: PLUS, Line: 46
Value: 1, Type: NUMBER, Line: 46
Value: ;, Type: SEMICOLON, Line: 46
Value: end, Type: END, Line: 47
Value: ;, Type: SEMICOLON, Line: 47
Value: return, Type: RETURN, Line: 48
